mw,type,F3,name,gen,germ
Mutant,M1,1,M1_1,F7,44.44
Mutant,M1,2,M1_2,F7,77.78
Mutant,M1,3,M1_3,F7,61.11
Mutant,M1,4,M1_4,F7,66.67
Mutant,M1,5,M1_5,F7,50.00
Mutant,M1,6,M1_6,F7,55.56
Mutant,M1,7,M1_7,F7,38.89
Mutant,M1,8,M1_8,F7,88.89
Mutant,M2,1,M2_1,F7,33.33
Mutant,M2,2,M2_2,F7,72.22
Mutant,M2,3,M2_3,F7,66.67
Mutant,M2,4,M2_4,F7,72.22
Mutant,M2,5,M2_5,F7,38.89
Mutant,M2,6,M2_6,F7,77.78
Mutant,M2,7,M2_7,F7,44.44
Mutant,M2,8,M2_8,F7,50.00
Mutant,M3,2,M3_2,F7,72.22
Mutant,M3,3,M3_3,F7,11.11
Mutant,M3,4,M3_4,F7,50.00
Mutant,M3,5,M3_5,F7,16.67
Mutant,M3,6,M3_6,F7,55.56
Mutant,M3,8,M3_8,F7,11.11
Wild,W1,1,W1_1,F7,88.89
Wild,W1,2,W1_2,F7,88.89
Wild,W1,3,W1_3,F7,77.78
Wild,W1,4,W1_4,F7,100.00
Wild,W1,5,W1_5,F7,83.33
Wild,W1,6,W1_6,F7,83.33
Wild,W1,7,W1_7,F7,100.00
Wild,W2,1,W2_1,F7,94.44
Wild,W2,2,W2_2,F7,83.33
Wild,W2,3,W2_3,F7,66.67
Wild,W2,4,W2_4,F7,88.89
Wild,W2,5,W2_5,F7,100.00
Wild,W2,6,W2_6,F7,100.00
Wild,W2,7,W2_7,F7,94.44
Wild,W3,1,W3_1,F7,88.89
Wild,W3,2,W3_2,F7,88.89
Wild,W3,3,W3_3,F7,88.89
Wild,W3,4,W3_4,F7,72.22
Wild,W3,5,W3_5,F7,88.89
Wild,W3,6,W3_6,F7,94.44
Wild,W3,7,W3_7,F7,88.89
Mutant,M1,1,M1_1,F8,0.00
Mutant,M1,2,M1_2,F8,22.22
Mutant,M1,3,M1_3,F8,33.33
Mutant,M1,4,M1_4,F8,38.89
Mutant,M1,5,M1_5,F8,0.00
Mutant,M1,6,M1_6,F8,38.89
Mutant,M1,7,M1_7,F8,44.44
Mutant,M1,8,M1_8,F8,72.22
Mutant,M2,1,M2_1,F8,55.56
Mutant,M2,2,M2_2,F8,77.78
Mutant,M2,3,M2_3,F8,44.44
Mutant,M2,4,M2_4,F8,33.33
Mutant,M2,5,M2_5,F8,66.67
Mutant,M2,6,M2_6,F8,83.33
Mutant,M2,7,M2_7,F8,55.56
Mutant,M2,8,M2_8,F8,72.22
Mutant,M3,2,M3_2,F8,83.33
Mutant,M3,3,M3_3,F8,0.00
Mutant,M3,4,M3_4,F8,22.22
Mutant,M3,5,M3_5,F8,44.44
Mutant,M3,6,M3_6,F8,33.33
Mutant,M3,8,M3_8,F8,50.00
Wild,W1,1,W1_1,F8,77.78
Wild,W1,2,W1_2,F8,94.44
Wild,W1,3,W1_3,F8,77.78
Wild,W1,4,W1_4,F8,88.89
Wild,W1,5,W1_5,F8,88.89
Wild,W1,6,W1_6,F8,72.22
Wild,W1,7,W1_7,F8,77.78
Wild,W2,1,W2_1,F8,83.33
Wild,W2,2,W2_2,F8,83.33
Wild,W2,3,W2_3,F8,55.56
Wild,W2,4,W2_4,F8,83.33
Wild,W2,5,W2_5,F8,94.44
Wild,W2,6,W2_6,F8,77.78
Wild,W2,7,W2_7,F8,94.44
Wild,W3,1,W3_1,F8,88.89
Wild,W3,2,W3_2,F8,88.89
Wild,W3,3,W3_3,F8,88.89
Wild,W3,4,W3_4,F8,77.78
Wild,W3,5,W3_5,F8,88.89
Wild,W3,6,W3_6,F8,88.89
Wild,W3,7,W3_7,F8,94.44
Mutant,M1,1,M1_1,F9,0.00
Mutant,M1,2,M1_2,F9,66.67
Mutant,M1,3,M1_3,F9,50.00
Mutant,M1,4,M1_4,F9,88.89
Mutant,M1,5,M1_5,F9,0.00
Mutant,M1,6,M1_6,F9,66.67
Mutant,M1,7,M1_7,F9,33.33
Mutant,M1,8,M1_8,F9,50.00
Mutant,M2,1,M2_1,F9,38.89
Mutant,M2,2,M2_2,F9,83.33
Mutant,M2,3,M2_3,F9,5.56
Mutant,M2,4,M2_4,F9,14.81
Mutant,M2,5,M2_5,F9,88.89
Mutant,M2,6,M2_6,F9,44.44
Mutant,M2,7,M2_7,F9,38.89
Mutant,M2,8,M2_8,F9,44.44
Mutant,M3,2,M3_2,F9,66.67
Mutant,M3,3,M3_3,F9,0.00
Mutant,M3,4,M3_4,F9,22.22
Mutant,M3,5,M3_5,F9,22.22
Mutant,M3,6,M3_6,F9,22.22
Mutant,M3,8,M3_8,F9,33.33
Wild,W1,1,W1_1,F9,88.89
Wild,W1,2,W1_2,F9,100.00
Wild,W1,3,W1_3,F9,88.89
Wild,W1,4,W1_4,F9,100.00
Wild,W1,5,W1_5,F9,88.89
Wild,W1,6,W1_6,F9,77.78
Wild,W1,7,W1_7,F9,77.78
Wild,W2,1,W2_1,F9,77.78
Wild,W2,2,W2_2,F9,100.00
Wild,W2,3,W2_3,F9,22.22
Wild,W2,4,W2_4,F9,100.00
Wild,W2,5,W2_5,F9,88.89
Wild,W2,6,W2_6,F9,100.00
Wild,W2,7,W2_7,F9,100.00
Wild,W3,1,W3_1,F9,100.00
Wild,W3,2,W3_2,F9,88.89
Wild,W3,3,W3_3,F9,100.00
Wild,W3,4,W3_4,F9,66.67
Wild,W3,5,W3_5,F9,100.00
Wild,W3,6,W3_6,F9,100.00
Wild,W3,7,W3_7,F9,100.00