Indel,Genome,Homopolymer,Length,Count
Deletion,Mitochondrial,AT,1,62
Deletion,Mitochondrial,AT,2,1
Deletion,Mitochondrial,AT,3,0
Deletion,Mitochondrial,AT,4,0
Deletion,Mitochondrial,GC,1,42
Deletion,Mitochondrial,GC,2,5
Deletion,Mitochondrial,GC,3,1
Deletion,Mitochondrial,GC,4,0
Deletion,Plastid,AT,1,241
Deletion,Plastid,AT,2,20
Deletion,Plastid,AT,3,1
Deletion,Plastid,AT,4,1
Deletion,Plastid,GC,1,6
Deletion,Plastid,GC,2,0
Deletion,Plastid,GC,3,0
Deletion,Plastid,GC,4,0
Insertion,Mitochondrial,AT,1,39
Insertion,Mitochondrial,AT,2,4
Insertion,Mitochondrial,AT,3,0
Insertion,Mitochondrial,AT,4,0
Insertion,Mitochondrial,GC,1,81
Insertion,Mitochondrial,GC,2,12
Insertion,Mitochondrial,GC,3,4
Insertion,Mitochondrial,GC,4,1
Insertion,Plastid,AT,1,101
Insertion,Plastid,AT,2,8
Insertion,Plastid,AT,3,1
Insertion,Plastid,AT,4,0
Insertion,Plastid,GC,1,19
Insertion,Plastid,GC,2,3
Insertion,Plastid,GC,3,2
Insertion,Plastid,GC,4,0